שבוע,פרויקט,משימות פיתוח,אוטומציות n8n
1,תשלומים,אינטגרציית Stripe/חשבונית ירוקה (API בסיסי),בדיקת קריאה ל־API עם Webhook
2,תשלומים,יצירת חשבוניות ידנית מתוך CRM,הפקת חשבונית → שליחה במייל ללקוח
3,תשלומים,קבלות וביטולים,עדכון סטטוס תשלום ב־CRM (Webhook)
4,תשלומים,ניהול מנויים ותמחור,תזכורת תשלום יומית ללקוחות עם חוב
5,תשלומים,QA לפיצ'רים כספיים,התראה לאדמין על חשבונית מעל 7 ימים
6,דוחות,Dashboard בסיסי (פגישות + תשלומים),Cron שבועי → דוח PDF לאדמין
7,דוחות,דוחות הכנסות חודשיים,מייל יומי למטפלת עם פגישות היום
8,דוחות,ניתוח ביטולים והופעות,התראה על מטופלים שלא הופיעו 3 פעמים
9,תזכורות,תזכורות Email לפני פגישה,Scheduler → שליחת מייל 24 שעות לפני
10,תזכורות,תזכורות SMS (Twilio),Scheduler → SMS שעה לפני הפגישה
11,תזכורות,Follow-up אחרי פגישה,מייל תודה + לינק משוב
12,תזכורות,Notification Center במערכת,איסוף משובים → עדכון CRM
13,מובייל,הפיכת המערכת ל־PWA,Push Notification בסיסי (OneSignal)
14,מובייל,פונקציונליות Offline (רשימת פגישות),סנכרון Offline→Online בכניסה מחדש
15,מובייל,בדיקות מובייל (RTL + נגישות),הודעת Push על פגישה חדשה
16,מובייל,QA ואופטימיזציה ביצועים,התראות מערכת במובייל
17,אינטגרציות,Google Calendar API – סנכרון חד-כיווני,יצירת אירוע ביומן → CRM
18,אינטגרציות,Outlook Calendar API,CRM → יצירת אירוע באאוטלוק
19,אינטגרציות,WhatsApp Business API,הודעת ברוכים הבאים ב־WhatsApp
20,אינטגרציות,Facebook/Instagram Ads Lead Sync,לידים מפייסבוק → יצירת לקוח ב־CRM
21,AI,ניתוח טפסי הצהרות בריאות (Zod + AI Node),הפקת סיכום אוטומטי למטפל
22,AI,Chatbot בסיסי לשאלות נפוצות,מענה אוטומטי ללקוחות חדשים
23,AI,ניתוח רגשות מטקסט (PoC),התראה למטפל אם הצהרה כוללת סיכון
24,סיכום,QA מקיף + הכנת השקה,דוחות מערכת שבועיים לאדמין
